ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;Validar visualizacion del acceso a registro en login web;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;El usuario visualiza la opcion Iniciar sesion o registrarse en login web con el diseno esperado y disponible para iniciar el flujo.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Abrir la oficina virtual ESSA en navegador web mediante HTTPS;Se carga la pantalla de inicio de sesion sin sesion activa;;;;;;;;;;;
;;;2;Ubicar la opcion Iniciar sesion o registrarse en la pantalla inicial;La opcion se muestra visible, accesible y claramente diferenciada en la interfaz web;;;;;;;;;;;
;;;3;Validar textos, iconos y estado del control;Los textos son legibles, los iconos son visibles y el control se encuentra habilitado para seleccion;;;;;;;;;;;
;Test Case;Validar visualizacion del acceso a registro en login mobile;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-06 El usuario no debe tener una sesion activa en la oficina virtual.;El usuario visualiza la opcion Iniciar sesion o registrarse en mobile con el diseno esperado y disponible para iniciar el flujo.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Abrir la oficina virtual ESSA en dispositivo movil mediante HTTPS;Se carga la pantalla de inicio de sesion sin sesion activa;;;;;;;;;;;
;;;2;Ubicar la opcion Iniciar sesion o registrarse en la pantalla inicial;La opcion se muestra visible, accesible y claramente diferenciada en la interfaz movil;;;;;;;;;;;
;;;3;Validar textos, iconos y estado del control;Los textos son legibles, los iconos son visibles y el control se encuentra habilitado para seleccion;;;;;;;;;;;
;Test Case;Validar redireccion transparente al servicio B2C desde web;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-03 El enlace de redireccion al servicio B2C debe estar configurado y parametrizado en el sistema, incluyendo el atributo de identificacion de la compania consumidora ESSA.;La oficina virtual redirige al usuario al servicio B2C en web sin exponer informacion tecnica ni requerir pasos adicionales.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Abrir la oficina virtual ESSA en navegador web;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Seleccionar la opcion Iniciar sesion o registrarse;El sistema inicia la apertura del enlace embebido hacia el servicio B2C;;;;;;;;;;;
;;;3;Esperar la navegacion al servicio externo;El usuario visualiza la interfaz de B2C con las opciones de registrarse o iniciar sesion;;;;;;;;;;;
;;;4;Revisar la transicion y la informacion mostrada;La redireccion es transparente, no expone URLs internas, tokens ni parametros tecnicos y no solicita acciones tecnicas adicionales;;;;;;;;;;;
;Test Case;Validar redireccion transparente al servicio B2C desde mobile;;;;Por Analizar;Integracion;Positiva;PRE-01 La pantalla de inicio de sesion de la oficina virtual debe estar disponible y accesible desde navegador web y dispositivo movil. PRE-02 El servicio B2C de EPM debe estar operativo y accesible desde la oficina virtual. PRE-03 El enlace de redireccion al servicio B2C debe estar configurado y parametrizado en el sistema, incluyendo el atributo de identificacion de la compania consumidora ESSA.;La oficina virtual redirige al usuario al servicio B2C en mobile sin exponer informacion tecnica ni requerir pasos adicionales.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Abrir la oficina virtual ESSA en dispositivo movil;Se carga la pantalla de inicio de sesion;;;;;;;;;;;
